Case ID,Case Date,Day,Week,Cases,Events
1795,25/09/2010,355,50,1,1
1278,25/09/2010,355,50,1,1
2055,26/09/2010,356,50,1,1
1174,26/09/2010,356,50,1,1
1157,27/09/2010,357,50,1,1
1110,28/09/2010,358,51,1,1
4048,29/09/2010,359,51,1,1
1281,29/09/2010,359,51,1,1
1607,29/09/2010,359,51,1,1
2116,30/09/2010,360,51,1,1
1088,30/09/2010,360,51,1,1
1753,1/10/2010,361,51,2,1
1116,1/10/2010,361,51,2,1
1168,1/10/2010,361,51,1,1
4049,1/10/2010,361,51,1,1
1056,1/10/2010,361,51,1,1
1089,1/10/2010,361,51,1,1
3361,2/10/2010,362,51,1,1
1048,2/10/2010,362,51,1,1
2056,3/10/2010,363,51,1,1
1184,4/10/2010,364,51,1,1
1186,5/10/2010,365,52,1,1
2765,6/10/2010,366,52,2,1
2755,6/10/2010,366,52,2,1
1606,7/10/2010,367,52,1,1
4050,8/10/2010,368,52,1,1
1202,8/10/2010,368,52,1,1
1171,8/10/2010,368,52,1,1
2057,9/10/2010,369,52,1,1
1818,9/10/2010,369,52,1,1
1408,9/10/2010,369,52,1,1
1280,10/10/2010,370,52,1,1
2911,10/10/2010,370,52,1,1
1407,10/10/2010,370,52,1,1
2897,10/10/2010,370,52,1,1
1189,11/10/2010,371,52,2,1
2097,11/10/2010,371,52,1,1
1191,11/10/2010,371,52,1,1
1611,12/10/2010,372,53,13,1
1619,12/10/2010,372,53,1,1
1530,12/10/2010,372,53,1,1
637,12/10/2010,372,53,1,1
1418,13/10/2010,373,53,1,1
2093,13/10/2010,373,53,1,1
1414,14/10/2010,374,53,1,1
1415,14/10/2010,374,53,1,1
2061,15/10/2010,375,53,1,1
1532,15/10/2010,375,53,1,1
2091,16/10/2010,376,53,1,1
2090,17/10/2010,377,53,1,1
2062,18/10/2010,378,53,1,1
2654,18/10/2010,378,53,1,1
1937,18/10/2010,378,53,1,1
3500,18/10/2010,378,53,1,1
2092,18/10/2010,378,53,1,1
1672,19/10/2010,379,54,1,1
1533,19/10/2010,379,54,1,1
1941,20/10/2010,380,54,2,1
2455,20/10/2010,380,54,1,1
1671,20/10/2010,380,54,1,1
1687,21/10/2010,381,54,1,1
2218,21/10/2010,381,54,1,1
2653,22/10/2010,382,54,1,1
1534,23/10/2010,383,54,1,1
3669,23/10/2010,383,54,1,1
3668,23/10/2010,383,54,1,1
2054,24/10/2010,384,54,1,1
1816,25/10/2010,385,54,1,1
1958,25/10/2010,385,54,1,1
1767,25/10/2010,385,54,1,1
4051,26/10/2010,386,55,1,1
1814,26/10/2010,386,55,1,1
1910,26/10/2010,386,55,1,1
2420,26/10/2010,386,55,1,1
1959,26/10/2010,386,55,1,1
1962,27/10/2010,387,55,1,1
2139,27/10/2010,387,55,1,1
2912,27/10/2010,387,55,1,1
1583,27/10/2010,387,55,1,1
1961,27/10/2010,387,55,1,1
4052,28/10/2010,388,55,9,1
2652,28/10/2010,388,55,1,1
1626,28/10/2010,388,55,1,1
1603,28/10/2010,388,55,1,1
1572,28/10/2010,388,55,1,1
1913,28/10/2010,388,55,1,1
1573,28/10/2010,388,55,1,1
2651,28/10/2010,388,55,1,1
2913,29/10/2010,389,55,1,1
4229,29/10/2010,389,55,1,1
1674,29/10/2010,389,55,1,1
1625,30/10/2010,390,55,1,1
1692,30/10/2010,390,55,1,1
1642,30/10/2010,390,55,1,1
1963,30/10/2010,390,55,1,1
4698,1/11/2010,392,55,1,1
1643,1/11/2010,392,55,1,1
2355,1/11/2010,392,55,1,1
4699,1/11/2010,392,55,1,1
2650,2/11/2010,393,56,1,1
3499,2/11/2010,393,56,1,1
2544,2/11/2010,393,56,1,1
2428,2/11/2010,393,56,1,1
1813,2/11/2010,393,56,1,1
1794,2/11/2010,393,56,1,1
2456,3/11/2010,394,56,1,1
1733,3/11/2010,394,56,1,1
2503,3/11/2010,394,56,1,1
4053,3/11/2010,394,56,1,1
1812,4/11/2010,395,56,1,1
2543,5/11/2010,396,56,2,1
2217,5/11/2010,396,56,1,1
2799,5/11/2010,396,56,1,1
2089,5/11/2010,396,56,1,1
1803,5/11/2010,396,56,1,1
1942,5/11/2010,396,56,1,1
2649,5/11/2010,396,56,1,1
4054,5/11/2010,396,56,1,1
1799,5/11/2010,396,56,1,1
1966,6/11/2010,397,56,1,1
4700,6/11/2010,397,56,1,1
2647,6/11/2010,397,56,1,1
1907,6/11/2010,397,56,1,1
2236,7/11/2010,398,56,1,1
1912,7/11/2010,398,56,1,1
1909,8/11/2010,399,56,2,1
2429,8/11/2010,399,56,1,1
2340,9/11/2010,400,57,1,1
2430,9/11/2010,400,57,1,1
2914,9/11/2010,400,57,1,1
2135,9/11/2010,400,57,1,1
2378,9/11/2010,400,57,1,1
2423,11/11/2010,402,57,1,1
1868,11/11/2010,402,57,1,1
4056,11/11/2010,402,57,1,1
4057,12/11/2010,403,57,1,1
1908,12/11/2010,403,57,1,1
1967,14/11/2010,405,57,1,1
1980,14/11/2010,405,57,1,1
2800,15/11/2010,406,57,1,1
2214,15/11/2010,406,57,1,1
2513,15/11/2010,406,57,1,1
2890,16/11/2010,407,58,1,1
2915,16/11/2010,407,58,1,1
2143,16/11/2010,407,58,1,1
2431,16/11/2010,407,58,1,1
2523,16/11/2010,407,58,1,1
2115,16/11/2010,407,58,1,1
2144,17/11/2010,408,58,2,1
2046,18/11/2010,409,58,1,1
2142,18/11/2010,409,58,1,1
2044,18/11/2010,409,58,1,1
4058,18/11/2010,409,58,1,1
2754,18/11/2010,409,58,1,1
2137,18/11/2010,409,58,1,1
2816,18/11/2010,409,58,1,1
2117,19/11/2010,410,58,12,1
2138,19/11/2010,410,58,1,1
2255,20/11/2010,411,58,1,1
4059,20/11/2010,411,58,1,1
2168,20/11/2010,411,58,1,1
3510,21/11/2010,412,58,1,1
2161,21/11/2010,412,58,1,1
2916,21/11/2010,412,58,1,1
3511,22/11/2010,413,58,1,1
2521,22/11/2010,413,58,1,1
2490,22/11/2010,413,58,1,1
2409,22/11/2010,413,58,1,1
2435,23/11/2010,414,59,2,1
2467,23/11/2010,414,59,1,1
2432,23/11/2010,414,59,1,1
2514,23/11/2010,414,59,1,1
2213,23/11/2010,414,59,1,1
2437,24/11/2010,415,59,1,1
